Model,N,Adj R2,R2,AIC,BIC,DW,BP p,JB p,VIF max,Regressors,coef__const,se__const,p__const,coef__D_REAL_GDP,se__D_REAL_GDP,p__D_REAL_GDP,coef__D_WHOLESALE_PRICE,se__D_WHOLESALE_PRICE,p__D_WHOLESALE_PRICE,coef__INDUSTRIAL_PRODUCTION,se__INDUSTRIAL_PRODUCTION,p__INDUSTRIAL_PRODUCTION,coef__D_INTERNATIONAL_IMPORTS,se__D_INTERNATIONAL_IMPORTS,p__D_INTERNATIONAL_IMPORTS,coef__INTERNATIONAL_EXPORTS,se__INTERNATIONAL_EXPORTS,p__INTERNATIONAL_EXPORTS,coef__D_CPI,se__D_CPI,p__D_CPI,coef__D_EXCHANGE_RATE,se__D_EXCHANGE_RATE,p__D_EXCHANGE_RATE
REAL_GDP,227,-0.004218340657349273,0.00022510332786018772,-111.93616734097043,-105.08626730600763,1.3649417880350867,0.6642332216745042,1.115474796896332e-66,0.9999999999999998,D_REAL_GDP,-0.03040554634983716,0.017184766875126496,0.07819320502254737,0.0033986028223243394,0.010718654545972948,0.7514817396126977,,,,,,,,,,,,,,,,,,
REAL_GDP + WHOLESALE_PRICE,227,-0.003523503974329101,0.005357234998895066,-111.10442460533375,-100.82957455288954,1.3628456007832763,0.7978997462655789,2.743723866381493e-69,1.0188611466079098,"D_REAL_GDP, D_WHOLESALE_PRICE",-0.030218423093424828,0.017202266059090837,0.08034325218011404,0.0011699501191824212,0.011625106459020823,0.919926302113246,0.010822927614009017,0.00949585432390859,0.2556065302719739,,,,,,,,,,,,,,,
REAL_GDP + WHOLESALE_PRICE + INDUSTRIAL_PRODUCTION,227,0.04136847351191886,0.05409367076618543,-120.50892642369627,-106.80912635377065,1.4631348585789803,0.7190552875706081,1.8691652301885764e-69,1.0323074489218154,"D_REAL_GDP, D_WHOLESALE_PRICE, INDUSTRIAL_PRODUCTION",-0.043590806770003356,0.017349318845066804,0.012694239117992194,-0.004628845124658994,0.012859409429243225,0.7192193379149795,0.00897772679266775,0.009038067546276753,0.3216288247286878,0.00409501675260782,0.0013145978266562047,0.0020805753710640288,,,,,,,,,,,,
REAL_GDP + WHOLESALE_PRICE + INDUSTRIAL_PRODUCTION + INTERNATIONAL_IMPORTS,227,0.03711139326677049,0.0541536694921374,-118.52332546336527,-101.39857537595825,1.4660943124002122,0.3196840447273194,1.0131837882298394e-70,1.079039070092372,"D_REAL_GDP, D_WHOLESALE_PRICE, INDUSTRIAL_PRODUCTION, D_INTERNATIONAL_IMPORTS",-0.04361053281400674,0.017248241402050588,0.012153286184860591,-0.004614847708245572,0.012876987599735693,0.7203999231896232,0.009254658549030962,0.008855000051704665,0.2970978598785307,0.004095997196423245,0.0013089293879275932,0.0019874965998655306,-0.0001235895453209091,0.0012635460557772892,0.9221700960218275,,,,,,,,,
REAL_GDP + WHOLESALE_PRICE + INDUSTRIAL_PRODUCTION + INTERNATIONAL_IMPORTS + INTERNATIONAL_EXPORTS,227,0.045454903417083914,0.06657315776626338,-119.52370339978324,-98.97400329489483,1.4861613378642289,0.10897462157363427,5.348081657124416e-66,1.3879658121077307,"D_REAL_GDP, D_WHOLESALE_PRICE, INDUSTRIAL_PRODUCTION, D_INTERNATIONAL_IMPORTS, INTERNATIONAL_EXPORTS",-0.048235794879442566,0.01791550602436764,0.007637267499120614,-0.00450292134549119,0.012963586603714905,0.7286578246771019,0.007753821428443824,0.009235461463361848,0.40205650732226483,0.002850628505025572,0.0014687457794112324,0.05354712918083565,-0.00013382296319280456,0.0012639438727321385,0.9157757449354346,0.0017304645974020119,0.0008606135030885129,0.04556856082146061,,,,,,
REAL_GDP + WHOLESALE_PRICE + INDUSTRIAL_PRODUCTION + INTERNATIONAL_IMPORTS + INTERNATIONAL_EXPORTS + CPI,227,0.048781559029864696,0.07403514595827543,-119.3456760551112,-95.37102593274138,1.4713878731126044,0.05348037960458438,1.1876875448993775e-55,1.4651187739140408,"D_REAL_GDP, D_WHOLESALE_PRICE, INDUSTRIAL_PRODUCTION, D_INTERNATIONAL_IMPORTS, INTERNATIONAL_EXPORTS, D_CPI",-0.045785718119032356,0.01759797702858073,0.009904414036365545,-0.0007189257126027629,0.011057784587169795,0.948220819118638,0.00018051977311598266,0.010657522813509906,0.986501230114446,0.0024095775671394695,0.0014055296043130865,0.0878717508368914,2.2245374858934503e-06,0.0012776172855172476,0.9986123329510135,0.0016914298084984203,0.0008814196605935806,0.05628042956661818,0.041432555257152066,0.036255894232912464,0.25437154246057136,,,
REAL_GDP + WHOLESALE_PRICE + INDUSTRIAL_PRODUCTION + INTERNATIONAL_IMPORTS + INTERNATIONAL_EXPORTS + CPI + EXCHANGE_RATE,227,0.0590724920975515,0.08821626446621145,-120.84906908330026,-93.44946894344903,1.448321510249293,0.012185021977568126,4.926664198572097e-39,1.4951222202046057,"D_REAL_GDP, D_WHOLESALE_PRICE, INDUSTRIAL_PRODUCTION, D_INTERNATIONAL_IMPORTS, INTERNATIONAL_EXPORTS, D_CPI, D_EXCHANGE_RATE",-0.04664766606932135,0.017970984870934063,0.010077736875827557,-0.00018963952413536544,0.01081670877091986,0.9860280937279955,-0.003707605551631939,0.012339610677160058,0.7641084847149959,0.002314782930131378,0.0014220598642395602,0.10501197485551599,6.439074102471845e-05,0.0012126500901413512,0.9577012789104044,0.001705139449802865,0.0008981070271995399,0.058932742769386766,0.05322559350507188,0.03964119311053872,0.1807643566880825,-0.011918228736701167,0.007270590157670398,0.10259938029039348
