Spec,Macro_K,N,Tone_Var,Coef,Beta,p-val,R2,AdjR2,Delta_AdjR2,VIF
Negative_Only,1,227,neg_mean_jittered,-0.0665979995636281,-0.01765040922173919,0.7825262637157833,0.0005329191771591413,-0.00839089404447324,-0.004172553387123967,1.0120887095464628
Negative_Only,2,227,neg_mean_jittered,-0.08002019380459247,-0.021207681550622772,0.7475437045924931,0.005800576318139905,-0.007574303821078043,-0.0040507998467489426,1.0144909513938667
Negative_Only,3,227,neg_mean_jittered,-0.0839394759954678,-0.022246405460915646,0.6984632016747936,0.05458149351657815,0.0375469258321921,-0.0038215476797267556,1.0145130696200866
Negative_Only,4,227,neg_mean_jittered,-0.08701548789640758,-0.023061638188298938,0.6737302141573475,0.05467422294225999,0.03328676192285418,-0.003824631343916307,1.0216802055632994
Negative_Only,5,227,neg_mean_jittered,-0.040364529743269345,-0.010697775799272849,0.8473611735219735,0.06668379333485175,0.041229714971256715,-0.004225188445827199,1.034408811847923
Negative_Only,6,227,neg_mean_jittered,-0.044006407810867364,-0.011662979538874223,0.8316054684378537,0.07416663045478977,0.044573783026404024,-0.004207776003460673,1.0345333125211311
Negative_Only,7,227,neg_mean_jittered,-0.04540826768465887,-0.012034513227664764,0.8260862810425058,0.08835625816676185,0.05490144195269808,-0.0041710501448534165,1.0345430405622544
