Spec,Macro_K,N,Tone_Var,Coef,Beta,p-val,R2,AdjR2,Delta_AdjR2,VIF
Asymmetry,1,227,pos_mean_jittered,0.08365835523991733,0.04905977759881196,0.5172094808768826,0.0024727309819595478,-0.010946918377027659,-0.006728577719678386,1.240770765539505
Asymmetry,1,227,neg_mean_jittered,0.013790954964509865,0.0036550046589554257,0.9603164645444172,0.0024727309819595478,-0.010946918377027659,-0.006728577719678386,1.246091131587798
Asymmetry,2,227,pos_mean_jittered,0.08188913140403567,0.048022251488455535,0.5310702307477193,0.007658897759794225,-0.010221122100389612,-0.006697618126060512,1.24097832932906
Asymmetry,2,227,neg_mean_jittered,-0.001228210114459883,-0.00032551144587741367,0.996576736104318,0.007658897759794225,-0.010221122100389612,-0.006697618126060512,1.2491462798581068
Asymmetry,3,227,pos_mean_jittered,0.07009041330109403,0.04110312805575867,0.5929445619361893,0.05594180601880616,0.034583023349548436,-0.006785450162370421,1.241969865895583
Asymmetry,3,227,neg_mean_jittered,-0.016481468310089575,-0.004368069043429335,0.9471699317084261,0.05594180601880616,0.034583023349548436,-0.006785450162370421,1.2494847489462124
Asymmetry,4,227,pos_mean_jittered,0.0689788364793829,0.040451265949448215,0.6012053065635348,0.055980047912431274,0.030234049219133863,-0.006877344047636624,1.2530813503270142
Asymmetry,4,227,neg_mean_jittered,-0.019535486266021973,-0.005177472734920904,0.9341401179022536,0.055980047912431274,0.030234049219133863,-0.006877344047636624,1.2666160746651476
Asymmetry,5,227,pos_mean_jittered,0.12121448224289555,0.07108382089914794,0.3584770521005135,0.07051865932178669,0.04080921007636429,-0.0046456933407196255,1.3176235130085587
Asymmetry,5,227,neg_mean_jittered,0.0841988880946595,0.02231515722129516,0.7282507223677558,0.07051865932178669,0.04080921007636429,-0.0046456933407196255,1.3186048568553814
Asymmetry,6,227,pos_mean_jittered,0.11695187130328276,0.06858409754111766,0.3686591537211882,0.0777341813541993,0.04388956415618828,-0.00489199487367642,1.3184895095142322
Asymmetry,6,227,neg_mean_jittered,0.07624109824223446,0.020206111179129675,0.7502718577325463,0.0777341813541993,0.04388956415618828,-0.00489199487367642,1.3192213160925639
Asymmetry,7,227,pos_mean_jittered,0.1016874142743716,0.05963256048474712,0.43688685414450834,0.09104105406757168,0.05334229594134199,-0.0057301961562095105,1.3245112110362627
Asymmetry,7,227,neg_mean_jittered,0.05918584731795004,0.015685973034356513,0.8050584345668743,0.09104105406757168,0.05334229594134199,-0.0057301961562095105,1.3207567368700768
