Date,INTERBANK CALL LOAN RATE,Real GDP,CPI,Wholesale Price,Industrial Production,Intl Trade Merch Exports,Intl Trade Merch Imports,FX Rate
2001-04-01,9.875,2.414137607121236,7.551018164178491,7.2146119111955676,21.064873366080782,13.683626034969043,31.13520554016933,21.84350178421328
2001-05-01,9.34375,3.268184788982209,7.426241153884194,8.432629319763961,15.650250254110665,2.63552238648066,49.747061423526226,20.888136818750034
2001-06-01,9.0921875,3.268184788982209,7.411171256730054,8.469949804726662,10.694178010301547,7.047289941865542,45.58276662264122,20.725387993594225
2001-07-01,9.196022727,3.268184788982209,7.236183933812379,9.88213791854793,8.655032001233254,-8.622024150749596,38.405294474700625,19.994097300266244
2001-08-01,9.264204545,3.1104413690406396,7.400006654784441,9.784558406306676,7.508969461597692,-3.5006026225951947,28.56569975048351,15.79156845617964
2001-09-01,9.23046875,3.1104413690406396,6.965171618466992,9.472740216228924,11.640447270074162,-14.299049931047758,26.34893244154448,12.054296334086345
2001-10-01,8.984375,3.1104413690406396,6.838448500679628,8.745577763412848,5.269903711920354,-12.68009688244045,3.6480656402308576,7.539927872759877
2001-11-01,8.689144737,3.348573566297075,6.0963647176983216,6.46288663678245,0.35735835668282423,-7.311718699020253,-4.653690721668169,4.494482854231818
2001-12-01,8.851102941,3.348573566297075,5.048544213043327,4.663214111206626,3.1603138704634492,-17.191585997204772,-13.24763867401353,3.7933788478670127
2002-01-01,7.811079545,3.348573566297075,4.52793343618223,5.410122907630388,-2.568322651992627,-21.75653335612121,7.624421474783172,0.8640678340961383
2002-02-01,7.498355263,3.876541250939902,3.7142860063543726,5.484146477856311,-8.365021407026651,-7.66883107735744,-30.090635243492393,6.195905566873061
2002-03-01,6.990811765,3.876541250939902,3.2288730748268435,5.097706325200835,-5.462966143458625,-0.2912023270301489,-0.5219607325367859,5.361828438726524
2002-04-01,6.970240476,3.876541250939902,3.510433465875984,5.962517286155,-11.063464441124548,4.486679912980152,6.504537568496249,1.597679334670099
2002-05-01,7.076706818,3.660184710781933,3.5037929858610317,5.917157655588068,13.043477907677193,24.108432113131762,12.535607228123325,-1.386229240609993
2002-06-01,7.125002778,3.660184710781933,3.4971614191070532,5.625527010503362,4.566640712562586,10.817769487214157,-1.057510019620933,-2.100635615039792
2002-07-01,7.110130952,3.660184710781933,2.9053373796066095,4.207919171054142,2.123894333825338,11.298036736602835,3.370966731434377,-4.937349051866313
2002-08-01,7.09375,2.676963822642753,2.6070737664841026,3.761246953647168,2.7255626909282515,18.121494597764464,5.5586167965322675,-0.3743284649217915
2002-09-01,7.0484375,2.676963822642753,2.9767441896888958,4.081635438879649,-2.5086511728373173,15.673171547685861,17.23460643447423,1.7157849971182415
2002-10-01,7.051136364,2.676963822642753,2.690167104467056,3.7368016497975054,7.602862642897534,18.834247437721928,17.890488111246338,2.268655003626918
2002-11-01,7.0625,4.565112658803661,2.5949928678218326,4.840030323064792,9.833189953924904,5.476621677691629,18.57876672667116,2.5356951958275253
2002-12-01,7.080882353,4.565112658803661,2.4029596685465116,5.1980234265193825,9.52805276343016,21.019577797246946,45.18335742686408,3.3415859155828898
2003-01-01,7.067434211,4.565112658803661,2.488482048024898,6.456956389516111,10.654206930231114,14.024248964390495,18.836364165059493,4.189518599697828
2003-02-01,7.060855263,4.618476885401868,2.7548235241004804,6.255075313279557,14.834025365274496,8.32099867610967,56.76668315036557,5.446696881619895
2003-03-01,7.117564286,4.618476885401868,3.2198689804313174,6.467255045941678,11.165525103959917,11.927679384445433,37.38294592857088,6.902441699788597
2003-04-01,7.19065,4.618476885401868,3.0247485441522226,5.546626368798857,21.69720354439466,17.260294984211466,28.342995841626074,3.568737521129739
2003-05-01,7.121875,4.388969046672586,3.293687418593083,4.30965827213412,2.504476584863391,2.5748324019946756,3.0500622604268557,5.355075781482355
2003-06-01,7.06719,4.388969046672586,3.37899835982467,4.292529123709965,8.734401460796626,2.117225701143366,29.11579246965097,5.937186430732111
2003-07-01,6.842391304,4.388969046672586,3.916214039232857,4.196363699529537,5.1126459303050265,10.395315869529199,11.284470027193617,6.161531149234056
2003-08-01,6.8265625,5.521910708229916,3.720505801367713,4.097708736870631,13.815187436131282,-0.8622016936104648,16.24142185576394,6.175068980769649
2003-09-01,6.941761364,5.521910708229916,3.4327064636638926,4.2352954260806985,9.228034379888129,5.168255459793891,5.151139047568254,5.552089404173133
2003-10-01,6.821022727,5.521910708229916,3.6133723230998616,4.1503510170775915,2.4106407507130667,10.854814990365336,7.947059179340643,3.8652800824654276
2003-11-01,6.817565789,5.736621674406028,3.6133723230998616,4.538341384664779,-0.23980982445932497,14.335634942241171,19.86197034196484,3.8710544975898653
2003-12-01,6.970394737,5.736621674406028,3.8808671648658866,5.568628199832348,-0.731709153135407,3.2934783737816664,17.404645021277144,3.5980077040334013
2004-01-01,6.840625,5.736621674406028,3.8669015151581165,5.6765155531637745,1.182434469810545,13.006197128627628,29.209161903201995,3.6640622812176282
2004-02-01,6.875,7.1762663460158915,4.110806200417261,4.740061938781648,10.027101549426408,8.036833919353704,14.819833670914996,3.6888445059575004
2004-03-01,7.088315217,7.1762663460158915,4.010695182150337,5.011388989467491,8.458144946417278,11.750367528059801,13.736285210478583,3.1361586723963164
2004-04-01,7.205882353,7.1762663460158915,4.181499674505962,6.5498858573894925,1.4263062428628626,10.97849542935585,9.66232138635359,5.8649754965719225
2004-05-01,7.151713158,7.492913156741743,4.251547957244495,7.804128427478996,8.551482013593613,16.14587344078542,16.442937253909594,6.357515119369461
2004-06-01,7.230654762,7.492913156741743,4.5052981476121134,8.307925091033109,6.065568782936381,22.765531799672445,5.4713766022544075,4.842054154028896
2004-07-01,7.154829545,7.492913156741743,5.433832353332857,9.270508985229075,12.448475254329061,13.704533437363441,24.778872786850247,4.1682027680289835
2004-08-01,7.151928571,6.253248794458721,6.561680572943618,9.538228637683876,6.430869828489483,7.513594861536399,12.071174657990834,1.5327451912478862
2004-09-01,7.017647727,6.253248794458721,6.812220058995311,9.857029525386318,3.655565714890252,15.929325977973452,11.40537439745719,2.1621340303357828
2004-10-01,7.0,6.253248794458721,7.236266386159351,9.92481593490262,11.282470659394562,10.992583351953588,19.529568793146357,2.5285215261440674
2004-11-01,7.118578947,5.5063080412562915,7.672189032426591,10.404197264124315,13.782058493349169,15.163332983579348,20.782278862481718,1.7161503482678864
2004-12-01,7.046877778,5.5063080412562915,8.16681190198314,9.583953135948619,14.905820964341343,21.363534633073144,4.81197180253119,1.3305558113271498
2005-01-01,7.023809524,5.5063080412562915,8.571434090016506,9.492276142700806,14.02337437234693,4.574181138396716,-0.6584950524440969,0.43239211143948353
2005-02-01,7.110197368,5.020577912012536,8.412020245468256,10.364965387670754,3.625422122436217,15.967130458400725,0.876920909304979,-2.2413880498158845
2005-03-01,7.096875,5.020577912012536,8.48328831410672,10.267536140772716,4.512593767016204,-2.5507132718571968,-5.422093874365929,-3.3083777424444683
2005-04-01,7.3203125,5.020577912012536,8.454310197419822,10.721938765346328,4.739498368566641,-6.080189036269457,-5.595919048611975,-2.5260008067943596
2005-05-01,7.194068421,5.657725392187696,8.496176892147055,11.426551534082318,11.541370857159983,5.908023514886729,6.28739172850703,-2.6935207831276786
2005-06-01,7.228829545,5.657725392187696,8.45308556715041,10.767067181517875,10.816908767954715,-1.5603375100964323,3.1496230265066316,-1.4392661956163733
2005-07-01,7.323115789,5.657725392187696,7.564415656411949,10.848405645509906,5.759579196314113,-0.11519702652247332,9.947636168450202,0.09556768700846874
2005-08-01,7.209635417,4.379516389521343,7.1428573897035275,11.402909185678634,11.20329319050979,12.769479825614095,2.001757415344474,0.2114701555659959
2005-09-01,7.355113636,4.379516389521343,7.195423777563503,12.05479534058611,17.577049164380696,2.6338557510928506,15.180540551531196,-0.10139970404871024
2005-10-01,7.6984375,4.379516389521343,6.9918730820864194,12.380304013896492,9.784631496022133,0.7407999821733124,13.405983359546504,-1.124800324551889
2005-11-01,7.922763158,4.724401633528341,7.044534499887289,11.864404576338284,13.960101016501758,-4.4183179784966775,2.4023688659770226,-3.1275026422296404
2005-12-01,7.763888889,4.724401633528341,7.068268619800988,11.796605594778665,12.529444345100238,-4.575884214240533,5.2356372168839815,-4.576279231200453
2006-01-01,7.734375,4.724401633528341,6.618817785216091,11.693543783216187,15.410458381278836,11.109375969386658,22.649109203144647,-5.6468876314908485
2006-02-01,8.1234375,4.501927238963188,7.142334501023817,11.24338333906385,9.433975205014189,-4.822677663646302,-0.10189607145609791,-5.465949201295828
2006-03-01,7.919836957,4.501927238963188,7.651158671397762,11.213114102180398,7.917797424899109,8.609908568747816,0.5309576656979731,-5.917110805106695
2006-04-01,7.923611111,4.501927238963188,7.637939730366039,9.6836681688359,13.282480366496351,18.789553579487173,3.7606279912451024,-5.747730616624091
2006-05-01,7.948863636,5.919076820269731,7.263956521511261,9.49044252938236,1.7044187405783173,13.796504341830307,1.4021724870412866,-4.073937967439301
2006-06-01,8.050597619,5.919076820269731,6.9773689052075705,10.35578241777566,4.799717390058378,12.591207563869444,12.377139854426677,-3.6651247885711835
2006-07-01,8.0703125,5.919076820269731,6.600988338349145,10.037645689248208,3.0568603248781523,16.018309660778264,3.6289124339172973,-6.443215215458298
2006-08-01,8.110795455,4.702968714051847,6.125241240184054,10.049625239834059,-1.282535074143143,5.40872615296768,7.437799447303561,-8.204358485222773
2006-09-01,8.151315789,4.702968714051847,5.955192529810849,8.618581222345378,-0.9233684634701311,11.285163580009705,5.61087387992909,-10.248152751016804
2006-10-01,8.065478571,4.702968714051847,5.5526245754972114,6.208152992778504,-2.071478712708208,1.7679018039217675,-9.961817177552213,-10.23896243461946
2006-11-01,7.311014286,6.012351501971014,5.282258520929739,4.969697936054462,-4.451669179060202,3.8053279740438484,1.2733107125846743,-8.645711733539652
2006-12-01,7.647569444,6.012351501971014,4.620423127192574,4.912066868787601,-0.33527518964742153,1.2357893812787735,3.72074502299784,-7.731047764715759
2007-01-01,7.644886364,6.012351501971014,4.410595358474989,4.813473219162567,-2.168626650989647,-10.902544007394077,-8.25030159789586,-7.037285640609669
2007-02-01,7.5734375,6.164153381002713,3.771670389402848,3.0321035355970416,-0.5344777661172584,11.807024635017793,-1.9841952932724727,-6.629992589276068
2007-03-01,7.920454545,6.164153381002713,2.9352226314264263,2.0047161998056007,-10.35840155962282,0.814220222640083,0.911124251863682,-5.274781541063978
2007-04-01,7.994791667,6.164153381002713,2.6236166715063236,2.5897615324710355,-5.74098114729058,3.029610733965038,2.385678087060028,-6.887260336948053
2007-05-01,7.691964286,6.842205770910503,2.618333868413103,2.6759720662137276,-4.27233687311579,-1.9806517679545554,-8.57722423832602,-10.192610493796273
2007-06-01,7.41875,6.842205770910503,2.6130569291862304,2.0725330274504294,-8.427342386991088,-4.468239388547768,-13.32070005221756,-13.162068100583236
2007-07-01,7.242052273,6.842205770910503,2.699993837591652,1.482325830556941,-4.0230908034380235,-11.035876654805698,-9.80165558494649,-12.925227664834072
2007-08-01,6.72172619,6.546757446526019,2.8884460365354414,0.8455411921989286,0.12479777140856907,-6.36665376895359,-0.37520374272695944,-10.295708580071029
2007-09-01,6.5968775,6.546757446526019,2.681226974902784,0.7315705956923546,-2.4416605844187256,-12.994769652442429,-8.055552610324046,-8.471543603276043
2007-10-01,6.397321429,6.546757446526019,2.879841094159441,3.381087003488248,-3.419050723963757,-3.7384111843650314,-0.348426938704971,-11.246190766417785
2007-11-01,6.434210526,6.502260762786927,2.874132617428482,5.542719575141319,-3.2960275709338127,-1.6494269981483178,-2.6081367172282266,-13.293220756244818
2007-12-01,6.314236111,6.502260762786927,3.0662754267547943,7.167629820906973,-6.134747258787043,-14.584052859719199,-2.3530116828105574,-15.6146746540342
2008-01-01,5.829545455,6.502260762786927,3.754939218725273,6.773828996096021,2.6097187843168834,2.3648094286141896,0.8499965860246927,-16.30652857733611
2008-02-01,5.321875,4.16965938296876,4.61689124993121,7.963072386044345,-3.009036262152054,-11.358365417506155,7.0281177248816995,-15.936409380887461
2008-03-01,5.189144737,4.16965938296876,5.113075075818263,8.55491912334534,7.455261679453851,-7.085763102954379,2.3305987496560876,-14.9737717096592
2008-04-01,5.15625,4.16965938296876,5.899710781091483,10.728634876764875,-4.488518003063291,-20.140290720585853,-4.2964914717741,-12.55241777288606
2008-05-01,5.139883333,4.773042383055803,7.2620123431105466,11.444760784213548,7.182838328421437,-8.130910369638078,-2.07818141361501,-8.356855935884289
2008-06-01,5.3671875,4.773042383055803,8.32517906550978,14.551609032335167,8.668533836746107,-6.048949026564854,2.050389728501778,-4.071910511555976
2008-07-01,5.675,4.773042383055803,9.444985918006378,19.269654164583415,7.686421942014721,4.776408829959489,8.521983374933239,-1.465925932856471
2008-08-01,5.8515625,5.435238743205084,10.164564275909193,21.07322624985164,10.261102603559301,2.9474173404970383,15.009830834287442,-2.597504750478241
2008-09-01,5.484379545,5.435238743205084,10.541592158391765,18.6033496214155,6.5502731318809015,3.8878603609168616,-1.453085962585332,1.2156072976836851
2008-10-01,5.534090909,5.435238743205084,10.13513222952036,15.07760037512369,14.519234305973349,2.8674551297060535,4.695278423427385,8.212974521856943
2008-11-01,5.7140625,3.1436274968777544,9.730247330960129,9.135667966537376,10.505430246480607,-7.106364508432506,-3.576427076330002,13.810494011337893
