Date,Interbank Call Loan Rate,CPI,Wholesale Price,Industrial Production,Intl Trade Merch Exports,Intl Trade Merch Imports,FX Rate
1998-02-01,13.174409523809524,-9.518831459340415,-7.58158022719968,-2.5874199468729153,-8.87940411661734,31.490785367315777,4.214554447020236
1998-03-01,13.459377499999999,-8.263595300479864,-6.436121751785128,-5.173595785492613,-10.075985562147572,18.80878248942548,0.23968380895262875
1998-04-01,13.24858409090909,-7.135362438760307,-6.513415705756853,-7.138309785754271,-8.565695412206797,-1.7183741789078333,0.524069183160214
1998-05-01,13.2015625,-6.617642019665659,-6.106869075954102,-11.52010786568589,-2.0339287206870726,-4.914043594567441,3.854883228751249
1998-06-01,13.588815789473685,-5.456453759546564,-5.328252485407436,-12.871929108661927,-8.771208733710012,7.498424233776291,6.595717121320188
1998-07-01,13.253187500000001,-4.692387970430801,-4.58452171688738,-7.060337532397787,-10.432057291842922,-9.365905912056792,9.145037054995564
1998-08-01,13.202458695652172,-4.5833370693856175,-4.3062194729764025,0.4768341137102672,-4.234252010861351,-3.579057970906918,9.61914784750546
1998-09-01,16.275321428571427,-4.465215926561039,-5.014197720328129,-4.714478123376297,-9.397919547801015,3.4243593095941716,8.966264776697596
1998-10-01,16.071029545454547,-4.648760517001516,-5.16431578913652,-4.194942213743158,-17.90916018426898,4.514500113971032,6.3825866744782855
1998-11-01,14.141445238095239,-4.73251318841691,-3.1984955619442257,-12.720632138038157,-22.26938106469908,-2.134426120237831,-0.9851554773911975
1998-12-01,14.09047105263158,-3.4907630857401784,-3.2740899597878403,-6.510412383037922,-16.97927993220192,-0.3990427446669109,-3.815397708091084
1999-01-01,13.862504999999999,-3.7948665589392916,-4.363973667399024,-15.48862567682151,-17.51871100089353,-25.19555517447194,-5.002567850744155
1999-02-01,13.215625,-2.149440310998363,-4.051561517243385,-6.901034210983726,-9.884466399498892,-14.11787139822096,-4.416378904507335
1999-03-01,12.6234375,-2.448982694846946,-4.9315084224494825,-7.26009876810314,-15.465387230839367,-13.199399765405573,-4.952153107506952
1999-04-01,12.282608695652174,-2.755104994811919,-4.657532338731485,-7.92253805670089,-14.180099861259855,-8.042068165245208,-7.154109307219281
1999-05-01,11.09046052631579,-3.1536169999576202,-3.941339193983362,-3.040311297272469,-18.35395992416763,-4.5398458686249255,-9.49097100083911
1999-06-01,10.12202380952381,-3.2487309080677984,-4.280509777799468,-9.854228496246254,-15.269376601257868,-6.032598229555408,-11.136469681942085
1999-07-01,9.525568181818182,-3.618090909312044,-5.0770644460960135,-15.326083719516713,-25.639076790555094,-4.9849797550264086,-13.698020887632156
1999-08-01,9.090909090909092,-3.99999688517364,-6.193898535105713,-16.162189881167144,-23.727308337037766,-10.149156323518882,-12.554548747057881
1999-09-01,8.90922619047619,-4.1791046463935055,-5.540659898071587,-17.794759643214007,-20.21482910552764,-11.743643266205183,-12.162776368009254
