Date,Interbank Call Loan Rate,CPI,Wholesale Price,Industrial Production,Intl Trade Merch Exports,Intl Trade Merch Imports,FX Rate,CPI_yoy_pct,Wholesale Price_yoy_pct,Industrial Production_yoy_pct,Intl Trade Merch Exports_yoy_pct,Intl Trade Merch Imports_yoy_pct,FX Rate_yoy_pct
1999-02-01,13.215625,45.424042,46.735191,40.241245,99064.132812,92116.976562,38.7799,10.520234887398615,8.203538045595327,2.6561455876251028,9.7446730133123,-23.949043485706756,-4.044113098581437
1999-03-01,12.6234375,45.424042,46.690338,41.338734,99702.328125,87593.679688,38.9107826086957,9.007978160411923,6.878853113282446,5.455859924614881,11.204999715744691,-15.831138149319523,-0.23911069932088802
1999-04-01,12.282608695652174,45.281498,46.824894,44.152805,105098.1875,103308.953125,38.2417368421053,7.683616310950314,6.967219687111781,7.687034092622191,9.368141914375471,1.7484185518419126,-0.5213370165162434
1999-05-01,11.09046052631579,45.233982,47.004299,41.282452,89768.15625,99449.03125,37.8384761904762,7.086608394552729,6.504063732728427,13.020029283261492,2.0761562591278038,5.168001438208902,-3.7117977594375295
1999-06-01,10.12202380952381,45.281498,47.138851,43.505569,103932.992188,95836.28125,37.8993181818182,5.771365657967942,5.6281336568611895,14.773572944952695,9.614518193173804,-6.975380604156123,-6.187600496006218
1999-07-01,9.525568181818182,45.566586,46.959446,43.843258,108231.8125,101185.570312,38.2798181818182,4.92341363979929,4.804798759467932,7.596689448768923,11.647088206362088,10.333755753071205,-8.37879330270197
1999-08-01,9.090909090909092,45.614101,46.869743,41.310593,109194.5,106934.78125,39.2609545454546,4.803497553376546,4.499999319977066,-0.4745711963522137,4.421468113360927,3.711909358681642,-8.775061689849073
1999-09-01,8.90922619047619,45.756645,47.407963,42.37994,126441.132812,104750.890625,40.1738181818182,4.673916385395893,5.278891792232865,4.947738156359827,10.372741443569055,-3.310979475679976,-8.22847768075009
1999-10-01,8.813920454545455,45.994217,47.766773,45.616123,148638.015625,102835.132812,40.3150476190476,4.8754064889008575,5.445540707708574,4.378622914775709,21.816271126558817,-4.319496442166459,-5.999653584292375
1999-11-01,8.788692857142857,46.184277,47.677071,46.235218,139413.21875,105285.179688,40.340947368421,4.967605787456875,3.3041795998025814,14.57461534111555,28.649432321174494,2.1809774731001763,0.9949573542644474
1999-12-01,8.649671052631579,46.279308,47.946178,43.224159,124234.554688,95024.28125,40.6232380952381,3.6170248541509187,3.384915126078103,6.963783399828283,20.451858184722994,0.40064147540663786,3.966744798207711
2000-01-01,8.736328125,46.32682,48.304989,45.784966,119453.664062,107646.25,40.426619047619,3.9445572426384024,4.563106430438757,18.327267543409874,21.23961835887811,33.681895819476225,5.266003235628869
2000-02-01,8.700892857142858,46.421852,48.708652,43.224159,109930.140625,107259.773438,40.5717,2.1966561232045434,4.2226445592144835,7.412578810620807,10.968659901986012,16.43866032208301,4.620434812879881
2000-03-01,8.7421875,46.564396,49.112316,44.574917,117942.609375,100913.679688,40.9381,2.510463511811656,5.187321625300734,7.8284521243441985,18.294739544227667,15.206576601696064,5.210168635496015
2000-04-01,8.846467391304348,46.564396,49.112316,47.951805,122463.65625,112343.710938,41.1884,2.8331615707589908,4.885055372469171,8.604209857108746,16.523090609911794,8.745377375055075,7.705359121268618
2000-05-01,8.878472222222221,46.70694,48.932911,42.576923,109947.960938,104178.578125,41.8063,3.2563084983320945,4.103054488696856,3.135644655990877,22.479914405059432,4.755749568953194,10.486214586311714
2000-06-01,9.765625,46.801968,49.246868,48.261353,122662.84375,101988.859375,42.6489,3.357817358427506,4.471931231416737,10.931437306336566,18.021083746073963,6.419884040523538,12.53210359984882
2000-07-01,10.367559523809524,47.277115,49.471127,51.778942,145549.3125,106494.289062,44.3556666666667,3.753910815262751,5.348617187689997,18.10012385484674,34.47923409764573,5.246517594980049,15.87219786674523
2000-08-01,10.617061904761906,47.514687,49.964493,49.274418,143163.296875,119013.664062,44.897652173913,4.166663286863859,6.602873841232704,19.27792467176639,31.108523666485045,11.295560406825068,14.357006073126621
2000-09-01,10.29211956521739,47.752262,50.188751,51.553818,158476.984375,118689.34375,45.7366666666667,4.361370900335904,5.8656559447618495,21.646746078451272,25.336574301839555,13.30628602948931,13.846949920647877
2000-10-01,10.925595238095237,47.942322,50.77182,52.876431,160368.328125,136143.640625,48.1061363636364,4.235543351026072,6.291082296892858,15.916100541907063,7.891865651378516,32.39020255255913,19.32551046003914
2000-11-01,13.678977272727273,48.322437,51.354885,56.506584,164261.78125,137964.421875,49.7537222222222,4.629627524536106,7.71400994830409,22.215459219852683,17.823677498300363,31.038786545115848,23.33305355433857
2000-12-01,15.105902777777779,48.940128,51.937954,54.199047,165102.75,132848.734375,49.89615,5.749480955938235,8.325535353412317,25.39063397393111,32.89599694274714,39.80503996182554,22.82661929367191
2001-01-01,13.981907894736842,49.320248,51.399738,54.677437,174617.734375,111733.375,50.9692727272727,6.461544306300326,6.406686067147227,19.422250963340247,46.18030827783417,3.7968113148391103,26.078494635515725
2001-02-01,12.744047619047619,49.890423,52.341618,52.376961,146412.0625,153608.5,48.2897,7.47184967975858,7.458564034989101,21.175199730317495,33.18645975306191,43.211658086142826,19.02311216932
2001-03-01,11.3171875,50.032967,52.790134,53.771027,135215.265625,119645.015625,48.4673181818182,7.448976681668973,7.488585958764404,20.630683395327452,14.644967023818655,18.56174107902182,18.3917137869569
2001-04-01,10.585227272727273,50.080482,52.655579,58.052792,139221.125,147322.15625,50.1853888888889,7.551018164178491,7.2146119111955676,21.064873366080782,13.683626034969043,31.13520554016933,21.84350178421328
2001-05-01,9.875,50.17551,53.059242,49.240318,112845.664062,156004.359375,50.5388571428571,7.426241153884194,8.432629319763961,15.650250254110665,2.63552238648066,49.747061423526226,20.888136818750034
2001-06-01,9.34375,50.270542,53.418053,53.422508,131307.25,148478.203125,51.48805,7.411171256730054,8.469949804726662,10.694178010301547,7.047289941865542,45.58276662264122,20.725387993594225
2001-07-01,9.0921875,50.698174,54.359932,56.260426,133000.015625,147393.734375,53.2241818181818,7.236183933812379,9.88213791854793,8.655032001233254,-8.622024150749596,38.405294474700625,19.994097300266244
2001-08-01,9.196022727272727,51.030777,54.853298,52.974419,138151.71875,153010.75,51.9876956521739,7.400006654784441,9.784558406306676,7.508969461597692,-3.5006026225951947,28.56569975048351,15.79156845617964
2001-09-01,9.264204545454545,51.078289,54.943001,57.554913,135816.28125,149962.71875,51.2499,6.965171618466992,9.472740216228924,11.640447270074162,-14.299049931047758,26.34893244154448,12.054296334086345
2001-10-01,9.23046875,51.220833,55.212109,55.662968,140033.46875,141110.25,51.7333043478261,6.838448500679628,8.745577763412848,5.269903711920354,-12.68009688244045,3.6480656402308576,7.539927872759877
2001-11-01,8.984375,51.268349,54.673893,56.708515,152251.421875,131543.984375,51.9898947368421,6.0963647176983216,6.46288663678245,0.35735835668282423,-7.311718699020253,-4.653690721668169,4.494482854231818
2001-12-01,8.689144736842104,51.410892,54.359932,55.911907,136718.96875,115249.414062,51.7889,5.048544213043327,4.663214111206626,3.1603138704634492,-17.191585997204772,-13.24763867401353,3.7933788478670127
2002-01-01,8.851102941176471,51.553436,54.180527,53.273144,136626.96875,120252.398438,51.4096818181818,4.52793343618223,5.410122907630388,-2.568322651992627,-21.75653335612121,7.624421474783172,0.8640678340961383
2002-02-01,7.811079545454546,51.743496,55.212109,47.995617,135183.96875,107386.726562,51.2816842105263,3.7142860063543726,5.484146477856311,-8.365021407026651,-7.66883107735744,-30.090635243492393,6.195905566873061
2002-03-01,7.498355263157895,51.648468,55.48122,50.833534,134821.515625,119020.515625,51.066052631579,3.2288730748268435,5.097706325200835,-5.462966143458625,-0.2912023270301489,-0.5219607325367859,5.361828438726524
2002-04-01,6.9908117647058825,51.838524,55.795177,51.630142,145467.53125,156904.78125,50.9871904761905,3.510433465875984,5.962517286155,-11.063464441124548,4.486679912980152,6.504537568496249,1.597679334670099
2002-05-01,6.970240476190476,51.933556,56.198841,55.662968,140050.984375,175560.453125,49.8382727272727,3.5037929858610317,5.917157655588068,13.043477907677193,24.108432113131762,12.535607228123325,-1.386229240609993
2002-06-01,7.076706818181818,52.028584,56.4231,55.862122,145511.765625,146908.03125,50.4064736842105,3.4971614191070532,5.625527010503362,4.566640712562586,10.817769487214157,-1.057510019620933,-2.100635615039792
2002-07-01,7.125002777777777,52.171127,56.647354,57.455338,148026.40625,152362.328125,50.5963181818182,2.9053373796066095,4.207919171054142,2.123894333825338,11.298036736602835,3.370966731434377,-4.937349051866313
2002-08-01,7.110130952380952,52.361187,56.916466,54.41827,163186.875,161516.03125,51.7930909090909,2.6070737664841026,3.761246953647168,2.7255626909282515,18.121494597764464,5.5586167965322675,-0.3743284649217915
2002-09-01,7.09375,52.598759,57.185574,56.111061,157103.0,175808.203125,52.1292380952381,2.9767441896888958,4.081635438879649,-2.5086511728373173,15.673171547685861,17.23460643447423,1.7157849971182415
2002-10-01,7.0484375,52.598759,57.275276,59.894947,166407.71875,166355.5625,52.9069545454546,2.690167104467056,3.7368016497975054,7.602862642897534,18.834247437721928,17.890488111246338,2.268655003626918
2002-11-01,7.051136363636363,52.598759,57.320126,62.284771,160589.65625,155983.234375,53.3082,2.5949928678218326,4.840030323064792,9.833189953924904,5.476621677691629,18.57876672667116,2.5356951958275253
2002-12-01,7.0625,52.646275,57.185574,61.239223,165456.71875,167322.96875,53.5194705882353,2.4029596685465116,5.1980234265193825,9.52805276343016,21.019577797246946,45.18335742686408,3.3415859155828898
2003-01-01,7.080882352941177,52.836334,57.67894,58.948975,155787.875,142903.578125,53.5635,2.488482048024898,6.456956389516111,10.654206930231114,14.024248964390495,18.836364165059493,4.189518599697828
2003-02-01,7.067434210526316,53.168938,58.665668,55.115299,146432.625,168346.609375,54.0748421052632,2.7548235241004804,6.255075313279557,14.834025365274496,8.32099867610967,56.76668315036557,5.446696881619895
2003-03-01,7.060855263157895,53.311481,59.069332,56.509365,150902.59375,163513.890625,54.5908571428571,3.2198689804313174,6.467255045941678,11.165525103959917,11.927679384445433,37.38294592857088,6.902441699788597
2003-04-01,7.117564285714286,53.406509,58.889927,62.832439,170575.65625,201376.296875,52.8067894736842,3.0247485441522226,5.546626368798857,21.69720354439466,17.260294984211466,28.342995841626074,3.568737521129739
2003-05-01,7.190650000000001,53.644085,58.620819,57.057034,143657.0625,180915.15625,52.50715,3.293687418593083,4.30965827213412,2.504476584863391,2.5748324019946756,3.0500622604268557,5.355075781482355
2003-06-01,7.121875,53.786629,58.845078,60.741344,148592.578125,189681.46875,53.3992,3.37899835982467,4.292529123709965,8.734401460796626,2.117225701143366,29.11579246965097,5.937186430732111
2003-07-01,7.067189999999999,54.21426,59.024483,60.392826,163414.21875,169555.609375,53.7138260869565,3.916214039232857,4.196363699529537,5.1126459303050265,10.395315869529199,11.284470027193617,6.161531149234056
2003-08-01,6.842391304347826,54.309288,59.248737,61.936256,161779.875,187748.53125,54.99135,3.720505801367713,4.097708736870631,13.815187436131282,-0.8622016936104648,16.24142185576394,6.175068980769649
2003-09-01,6.8265625,54.40432,59.607552,61.289009,165222.484375,184864.328125,55.0235,3.4327064636638926,4.2352954260806985,9.228034379888129,5.168255459793891,5.151139047568254,5.552089404173133
2003-10-01,6.941761363636363,54.499348,59.652401,61.338799,184470.96875,179575.9375,54.9519565217391,3.6133723230998616,4.1503510170775915,2.4106407507130667,10.854814990365336,7.947059179340643,3.8652800824654276
2003-11-01,6.8210227272727275,54.499348,59.921509,62.135406,183611.203125,186964.578125,55.3717894736842,3.6133723230998616,4.538341384664779,-0.23980982445932497,14.335634942241171,19.86197034196484,3.8710544975898653
2003-12-01,6.817565789473684,54.689407,60.370026,60.79113,170906.0,196444.9375,55.4451052631579,3.8808671648658866,5.568628199832348,-0.731709153135407,3.2934783737816664,17.404645021277144,3.5980077040334013
2004-01-01,6.970394736842105,54.879463,60.953094,59.646008,176049.953125,184644.515625,55.5261,3.8669015151581165,5.6765155531637745,1.182434469810545,13.006197128627628,29.209161903201995,3.6640622812176282
