Date,Interbank Call Loan Rate,Real GDP,CPI,Wholesale Price,Industrial Production,Intl Trade Merch Exports,Intl Trade Merch Imports,FX Rate,Real GDP_yoy_pct,CPI_yoy_pct,Wholesale Price_yoy_pct,Industrial Production_yoy_pct,Intl Trade Merch Exports_yoy_pct,Intl Trade Merch Imports_yoy_pct,FX Rate_yoy_pct
2000-04-01,8.846467391304348,1653.296021,46.564396,49.112316,47.951805,122463.65625,112343.710938,41.1884,-2.357230811611466,-7.020870925323763,-6.729131209439365,-17.3996575392963,-12.03658478553452,-23.74282742145243,-17.92750656731653
2000-05-01,8.878472222222221,1729.789429,46.70694,48.932911,42.576923,109947.960938,104178.578125,41.8063,-3.164754755455801,-6.912874428182192,-7.7768374452088835,-13.532396358610033,-2.5678462243865496,-33.22072630382223,-17.27889714279246
2000-06-01,9.765625,1729.789429,46.801968,49.246868,48.261353,122662.84375,101988.859375,42.6489,-3.164754755455801,-6.899814209283828,-7.808568013514083,-9.661012171124572,-6.583342694329519,-31.31055115939261,-17.167381557468197
2000-07-01,10.367559523809524,1729.789429,47.277115,49.471127,51.778942,145549.3125,106494.289062,44.3556666666667,-3.164754755455801,-6.7478939182306625,-8.993397931402857,-7.965606232700761,9.435560451649394,-27.74842871471279,-16.662567367988256
2000-08-01,10.617061904761906,1709.412964,47.514687,49.964493,49.274418,143163.296875,119013.664062,44.897652173913,-3.0166114389018284,-6.890136123147794,-8.912508779326277,-6.984505106134343,3.627590138106762,-22.218756484756796,-13.637926030992343
2000-09-01,10.29211956521739,1709.412964,47.752262,50.188751,51.553818,158476.984375,118689.34375,45.7366666666667,-3.0166114389018284,-6.511625712443103,-8.653058466900998,-10.426729339335461,16.68482078616771,-20.85409977938266,-10.757549445624859
2000-10-01,10.925595238095237,1709.412964,47.942322,50.77182,52.876431,160368.328125,136143.640625,48.1061363636364,-3.0166114389018284,-6.400737371842435,-8.042237618562986,-5.0060877098756285,14.52142802468428,-3.5196659172526457,-7.011282248283668
2000-11-01,13.678977272727273,1892.884888,48.322437,51.354885,56.506584,164261.78125,137964.421875,49.7537222222222,-3.2400771977263876,-5.74606371662173,-6.070553636998188,-0.35608585412614246,7.888503914834133,4.88082942789454,-4.301167613319401
2000-12-01,15.105902777777779,1892.884888,48.940128,51.937954,54.199047,165102.75,132848.734375,49.89615,-3.2400771977263876,-4.805915446866771,-4.455447074510699,-3.0634977268795383,20.760675354348002,15.2706375613608,-3.6547406876763167
2001-01-01,13.981907894736842,1892.884888,49.320248,51.399738,54.677437,174617.734375,111733.375,50.9692727272727,-3.2400771977263876,-4.3317927441344555,-5.132451000338179,2.6360242601788153,27.80619812660523,-7.084285676341217,-0.8566656616679214
2001-02-01,12.744047619047619,1693.208862,49.890423,52.341618,52.376961,146412.0625,153608.5,48.2897,-3.731873630231042,-3.5812674891545826,-5.199024366194749,9.128633558351783,8.305787922800567,43.042352549329046,-5.83441097262587
2001-03-01,11.3171875,1693.208862,50.032967,52.790134,53.771027,135215.265625,119645.015625,48.4673181818182,-3.731873630231042,-3.1278778685168374,-4.850444889279649,5.778651942632984,0.2920527915553084,0.524699457669664,-5.088966771153469
2001-04-01,10.585227272727273,1693.208862,50.080482,52.655579,58.052792,139221.125,147322.15625,50.1853888888889,-3.731873630231042,-3.391381282383732,-5.627006076170349,12.439729489800744,-4.294020938091636,-6.107286803919498,-1.572554949220073
