Date,INTERBANK CALL LOAN RATE,Real GDP,CPI,Wholesale Price,Industrial Production,Intl Trade Merch Exports,Intl Trade Merch Imports,FX Rate,FX Rate_mom_pct,tone_mean,pos_mean,neg_mean,neu_mean,speech_count,tone_mean_filled,pos_mean_filled,neg_mean_filled,neu_mean_filled,tone_mean_jittered,pos_mean_jittered,neg_mean_jittered,neu_mean_jittered
2001-04-01,9.875,2.414137607121236,7.551018164178491,7.214611911195567,21.064873366080786,13.683626034969045,31.13520554016933,21.84350178421328,3.544802500987587,0.4196301659999999,0.5073109243697479,0.0723529411764705,0.4155742296918767,5,0.4196301659999999,0.5073109243697479,0.0723529411764705,0.4155742296918767,0.4196301659999999,0.5073109243697479,0.0723529411764705,0.4155742296918767
2001-05-01,9.34375,3.268184788982209,7.426241153884194,8.432629319763961,15.650250254110665,2.63552238648066,49.74706142352623,20.888136818750034,0.7043250272520174,0.537492796,0.6312743304529019,0.067807332843047,0.2896405589262732,5,0.537492796,0.6312743304529019,0.067807332843047,0.2896405589262732,0.537492796,0.6312743304529019,0.067807332843047,0.2896405589262732
2001-06-01,9.0921875,3.268184788982209,7.411171256730054,8.469949804726662,10.694178010301547,7.047289941865542,45.58276662264122,20.725387993594225,1.878144680754934,0.4354547266666667,0.4595942095942096,0.009009009009009,0.5313967813967814,3,0.4354547266666667,0.4595942095942096,0.009009009009009,0.5313967813967814,0.4354547266666667,0.4595942095942096,0.009009009009009,0.5313967813967814
2001-07-01,9.196022727,3.268184788982209,7.236183933812379,9.88213791854793,8.655032001233254,-8.622024150749596,38.40529447470063,19.994097300266244,3.371912158611168,0.416601758,0.4889734210249278,0.0679639260273011,0.4395538810179465,5,0.416601758,0.4889734210249278,0.0679639260273011,0.4395538810179465,0.416601758,0.4889734210249278,0.0679639260273011,0.4395538810179465
2001-08-01,9.264204545,3.11044136904064,7.400006654784441,9.784558406306676,7.508969461597692,-3.5006026225951947,28.56569975048351,15.79156845617964,-2.323166131950772,0.401707816,0.5320594220594221,0.1153886853886853,0.3459910459910459,5,0.401707816,0.5320594220594221,0.1153886853886853,0.3459910459910459,0.401707816,0.5320594220594221,0.1153886853886853,0.3459910459910459
2001-09-01,9.23046875,3.11044136904064,6.965171618466992,9.472740216228924,11.640447270074162,-14.299049931047758,26.34893244154448,12.054296334086343,-1.419173600442225,0.3058783925,0.4079881676274711,0.1063383479428255,0.4825870646766169,4,0.3058783925,0.4079881676274711,0.1063383479428255,0.4825870646766169,0.3058783925,0.4079881676274711,0.1063383479428255,0.4825870646766169
2001-10-01,8.984375,3.11044136904064,6.838448500679628,8.745577763412848,5.269903711920354,-12.68009688244045,3.6480656402308576,7.539927872759877,0.943229836206716,0.31119912,0.4109436819064547,0.0844399460188933,0.4981386392811296,4,0.31119912,0.4109436819064547,0.0844399460188933,0.4981386392811296,0.31119912,0.4109436819064547,0.0844399460188933,0.4981386392811296
2001-11-01,8.689144737,3.348573566297075,6.0963647176983216,6.46288663678245,0.3573583566828242,-7.311718699020253,-4.653690721668169,4.494482854231818,0.4959868546011048,0.501076655,0.5482603815937148,0.0061728395061728,0.4393939393939393,2,0.501076655,0.5482603815937148,0.0061728395061728,0.4393939393939393,0.501076655,0.5482603815937148,0.0061728395061728,0.4393939393939393
2001-12-01,8.851102941,3.348573566297075,5.048544213043327,4.663214111206626,3.160313870463449,-17.191585997204772,-13.24763867401353,3.7933788478670127,-0.3866034695001463,0.30017028,0.4224386724386724,0.1576479076479076,0.408008658008658,2,0.30017028,0.4224386724386724,0.1576479076479076,0.408008658008658,0.30017028,0.4224386724386724,0.1576479076479076,0.408008658008658
2002-01-01,7.811079545,3.348573566297075,4.52793343618223,5.410122907630388,-2.568322651992627,-21.75653335612121,7.624421474783172,0.8640678340961383,-0.7322383402972421,0.27104983,0.4583333333333333,0.1458333333333333,0.3541666666666667,1,0.27104983,0.4583333333333333,0.1458333333333333,0.3541666666666667,0.27104983,0.4583333333333333,0.1458333333333333,0.3541666666666667
