Date,Interbank Call Loan Rate,Real GDP,CPI,Wholesale Price,Industrial Production,Intl Trade Merch Exports,Intl Trade Merch Imports,FX Rate,tone_mean,pos_mean,neg_mean,neu_mean,speech_count,tone_mean_filled,pos_mean_filled,neg_mean_filled,neu_mean_filled
2001-04-01,10.585227272727272,2.414137607121236,7.551018164178491,7.214611911195567,21.064873366080786,13.683626034969045,31.13520554016933,21.84350178421328,0.407964694,0.4843903877340409,0.0699719887955182,0.4242090520418693,5,0.407964694,0.4843903877340409,0.0699719887955182,0.4242090520418693
2001-05-01,9.875,3.268184788982209,7.426241153884194,8.432629319763961,15.650250254110665,2.63552238648066,49.74706142352623,20.888136818750034,0.5458831175,0.646129573451002,0.07087027716491998,0.2719606085677514,4,0.5458831175,0.646129573451002,0.07087027716491998,0.2719606085677514
2001-06-01,9.34375,3.268184788982209,7.411171256730054,8.469949804726662,10.694178010301547,7.047289941865542,45.58276662264122,20.725387993594225,0.4346296033333334,0.4375144375144375,0.009009009009009,0.5406560406560407,3,0.4346296033333334,0.4375144375144375,0.009009009009009,0.5406560406560407
2001-07-01,9.0921875,3.268184788982209,7.236183933812379,9.88213791854793,8.655032001233254,-8.622024150749596,38.40529447470063,19.994097300266244,0.415987622,0.48717631957565255,0.0679639260273011,0.4413509824672218,5,0.415987622,0.48717631957565255,0.0679639260273011,0.4413509824672218
2001-08-01,9.196022727272728,3.11044136904064,7.400006654784441,9.784558406306676,7.508969461597692,-3.5006026225951947,28.56569975048351,15.79156845617964,0.395587878,0.525982905982906,0.12308099308099307,0.34807895807895806,5,0.395587878,0.525982905982906,0.12308099308099307,0.34807895807895806
2001-09-01,9.264204545454543,3.11044136904064,6.965171618466992,9.472740216228924,11.640447270074162,-14.299049931047758,26.34893244154448,12.054296334086343,0.314111935,0.4096087025191502,0.09878764247545338,0.48405294953802414,4,0.314111935,0.4096087025191502,0.09878764247545338,0.48405294953802414
2001-10-01,9.23046875,3.11044136904064,6.838448500679628,8.745577763412848,5.269903711920354,-12.68009688244045,3.6480656402308576,7.539927872759877,0.3153730175,0.4147898357526085,0.08443994601889335,0.49692406438234427,4,0.3153730175,0.4147898357526085,0.08443994601889335,0.49692406438234427
2001-11-01,8.984375,3.348573566297075,6.0963647176983216,6.46288663678245,0.3573583566828242,-7.311718699020253,-4.653690721668169,4.494482854231818,0.4973285,0.5482603815937148,0.0061728395061728,0.4455667789001122,2,0.4973285,0.5482603815937148,0.0061728395061728,0.4455667789001122
2001-12-01,8.689144736842104,3.348573566297075,5.048544213043327,4.663214111206626,3.160313870463449,-17.191585997204772,-13.24763867401353,3.7933788478670127,0.29790907,0.4173881673881674,0.1457431457431457,0.43686868686868685,2,0.29790907,0.4173881673881674,0.1457431457431457,0.43686868686868685
2002-01-01,8.851102941176471,3.348573566297075,4.52793343618223,5.410122907630388,-2.568322651992627,-21.75653335612121,7.624421474783172,0.8640678340961383,,,,,0,0.29790907,0.4173881673881674,0.1457431457431457,0.43686868686868685
2002-02-01,7.811079545454546,3.876541250939902,3.714286006354373,5.484146477856311,-8.365021407026651,-7.66883107735744,-30.090635243492397,6.195905566873061,,,,,0,0.29790907,0.4173881673881674,0.1457431457431457,0.43686868686868685
2002-03-01,7.498355263157895,3.876541250939902,3.2288730748268435,5.097706325200835,-5.462966143458625,-0.2912023270301489,-0.5219607325367859,5.361828438726524,0.15604915900000002,0.30512692882030856,0.14459930313588845,0.5380786460925834,2,0.15604915900000002,0.30512692882030856,0.14459930313588845,0.5380786460925834
2002-04-01,6.9908117647058825,3.876541250939902,3.510433465875984,5.962517286155,-11.063464441124548,4.486679912980152,6.504537568496249,1.597679334670099,0.6312208,0.6631027253668763,0.0,0.33689727463312363,3,0.6312208,0.6631027253668763,0.0,0.33689727463312363
2002-05-01,6.970240476190476,3.660184710781933,3.503792985861032,5.917157655588068,13.043477907677191,24.10843211313176,12.535607228123324,-1.386229240609993,0.33012202999999996,0.42154063042220935,0.06066247349142082,0.5073802294197031,4,0.33012202999999996,0.42154063042220935,0.06066247349142082,0.5073802294197031
2002-06-01,7.076706818181818,3.660184710781933,3.497161419107053,5.625527010503362,4.566640712562586,10.817769487214155,-1.057510019620933,-2.100635615039792,,,,,0,0.33012202999999996,0.42154063042220935,0.06066247349142082,0.5073802294197031
2002-07-01,7.125002777777777,3.660184710781933,2.905337379606609,4.207919171054142,2.123894333825338,11.298036736602835,3.370966731434377,-4.937349051866313,0.606215272,0.633882618064487,0.00488458674609082,0.35381656287371105,5,0.606215272,0.633882618064487,0.00488458674609082,0.35381656287371105
2002-08-01,7.110130952380952,2.676963822642753,2.6070737664841026,3.761246953647168,2.7255626909282515,18.121494597764464,5.558616796532268,-0.3743284649217915,0.3334776666666667,0.4093314093314093,0.08116883116883113,0.501924001924002,3,0.3334776666666667,0.4093314093314093,0.08116883116883113,0.501924001924002
2002-09-01,7.09375,2.676963822642753,2.976744189688896,4.081635438879649,-2.5086511728373173,15.67317154768586,17.23460643447423,1.7157849971182415,0.4335162133333333,0.46923180903763423,0.039738767894107664,0.485023417062252,3,0.4335162133333333,0.46923180903763423,0.039738767894107664,0.485023417062252
2002-10-01,7.0484375,2.676963822642753,2.690167104467056,3.7368016497975054,7.602862642897534,18.834247437721928,17.890488111246338,2.268655003626918,0.393119685,0.4537037037037037,0.0,0.5462962962962963,2,0.393119685,0.4537037037037037,0.0,0.5462962962962963
2002-11-01,7.051136363636363,4.565112658803661,2.5949928678218326,4.840030323064792,9.833189953924904,5.476621677691629,18.57876672667116,2.5356951958275253,0.3838415375,0.44690372520561195,0.039688526468566174,0.5086907671937463,4,0.3838415375,0.44690372520561195,0.039688526468566174,0.5086907671937463
2002-12-01,7.0625,4.565112658803661,2.402959668546512,5.198023426519383,9.52805276343016,21.019577797246946,45.18335742686408,3.3415859155828898,0.5217805050000001,0.585344827586207,0.0172413793103448,0.39741379310344827,2,0.5217805050000001,0.585344827586207,0.0172413793103448,0.39741379310344827
2003-01-01,7.080882352941177,4.565112658803661,2.488482048024898,6.456956389516111,10.654206930231114,14.024248964390496,18.836364165059493,4.189518599697828,0.15148376000000002,0.3484327217125382,0.2142584097859327,0.4281345565749235,2,0.15148376000000002,0.3484327217125382,0.2142584097859327,0.4281345565749235
2003-02-01,7.067434210526316,4.618476885401868,2.7548235241004804,6.255075313279557,14.834025365274496,8.32099867610967,56.76668315036557,5.446696881619895,,,,,0,0.15148376000000002,0.3484327217125382,0.2142584097859327,0.4281345565749235
2003-03-01,7.060855263157895,4.618476885401868,3.2198689804313174,6.467255045941678,11.165525103959917,11.927679384445431,37.38294592857088,6.902441699788597,,,,,0,0.15148376000000002,0.3484327217125382,0.2142584097859327,0.4281345565749235
2003-04-01,7.117564285714286,4.618476885401868,3.0247485441522226,5.546626368798857,21.69720354439466,17.260294984211466,28.342995841626077,3.568737521129739,,,,,0,0.15148376000000002,0.3484327217125382,0.2142584097859327,0.4281345565749235
2003-05-01,7.190650000000001,4.388969046672586,3.293687418593083,4.30965827213412,2.504476584863391,2.574832401994676,3.050062260426856,5.355075781482355,,,,,0,0.15148376000000002,0.3484327217125382,0.2142584097859327,0.4281345565749235
2003-06-01,7.121875,4.388969046672586,3.37899835982467,4.292529123709965,8.734401460796626,2.117225701143366,29.11579246965097,5.937186430732111,0.48115802,0.5402298850574713,0.0,0.4482758620689655,1,0.48115802,0.5402298850574713,0.0,0.4482758620689655
2003-07-01,7.067189999999999,4.388969046672586,3.916214039232857,4.196363699529537,5.1126459303050265,10.3953158695292,11.284470027193615,6.161531149234056,0.432675261,0.4777500935151683,0.04138638670845126,0.472530186443047,10,0.432675261,0.4777500935151683,0.04138638670845126,0.472530186443047
2003-08-01,6.842391304347826,5.521910708229916,3.720505801367713,4.097708736870631,13.815187436131282,-0.8622016936104648,16.24142185576394,6.175068980769649,0.36805341,0.39023631840796014,0.05223880597014925,0.5575248756218906,2,0.36805341,0.39023631840796014,0.05223880597014925,0.5575248756218906
2003-09-01,6.8265625,5.521910708229916,3.4327064636638926,4.2352954260806985,9.228034379888127,5.168255459793891,5.151139047568254,5.552089404173133,0.39975331199999997,0.4283620313862249,0.03695354340515628,0.5346844252086187,5,0.39975331199999997,0.4283620313862249,0.03695354340515628,0.5346844252086187
2003-10-01,6.941761363636363,5.521910708229916,3.6133723230998616,4.150351017077592,2.4106407507130667,10.854814990365336,7.947059179340643,3.865280082465428,,,,,0,0.39975331199999997,0.4283620313862249,0.03695354340515628,0.5346844252086187
2003-11-01,6.821022727272728,5.736621674406028,3.6133723230998616,4.538341384664779,-0.2398098244593249,14.335634942241173,19.86197034196484,3.871054497589865,0.4605689466666667,0.5405565703678678,0.049708062356159266,0.4051691572303109,6,0.4605689466666667,0.5405565703678678,0.049708062356159266,0.4051691572303109
2003-12-01,6.817565789473684,5.736621674406028,3.880867164865887,5.568628199832348,-0.731709153135407,3.2934783737816664,17.404645021277144,3.5980077040334013,0.3504763066666667,0.4499074074074074,0.08370370370370367,0.4594444444444445,3,0.3504763066666667,0.4499074074074074,0.08370370370370367,0.4594444444444445
2004-01-01,6.970394736842105,5.736621674406028,3.866901515158117,5.676515553163775,1.182434469810545,13.006197128627628,29.209161903201995,3.664062281217628,0.5051844333333334,0.5968511021142601,0.04444444444444443,0.35870445344129553,3,0.5051844333333334,0.5968511021142601,0.04444444444444443,0.35870445344129553
2004-02-01,6.840625,7.176266346015892,4.110806200417261,4.740061938781648,10.027101549426408,8.036833919353704,14.819833670914996,3.688844505957501,0.468781185,0.5243519245875883,0.0399319193506153,0.4269442262372348,2,0.468781185,0.5243519245875883,0.0399319193506153,0.4269442262372348
2004-03-01,6.875,7.176266346015892,4.010695182150337,5.011388989467491,8.458144946417278,11.7503675280598,13.736285210478584,3.1361586723963164,0.49936362,0.5937477841879654,0.046460609576605305,0.35979160623542933,6,0.49936362,0.5937477841879654,0.046460609576605305,0.35979160623542933
2004-04-01,7.088315217391305,7.176266346015892,4.181499674505962,6.5498858573894925,1.4263062428628626,10.97849542935585,9.66232138635359,5.8649754965719225,0.22504253479999997,0.3093052954042459,0.10012051117298493,0.579311253464177,5,0.22504253479999997,0.3093052954042459,0.10012051117298493,0.579311253464177
