window_scheme,horizon_h,model,tone_spec,n,rmse,mae,naive_rmse,naive_mae,pct_improve_vs_naive_rmse,rmse_ratio_vs_naive
expanding,1,ElasticNet,NEG,48,1.0236039693600747,0.9366507335969056,0.14175720402979905,0.08731906830239408,-622.0825046358144,7.2208250463581445
expanding,1,ElasticNet,None,48,1.0194235474748496,0.9305578378462561,0.14175720402979905,0.08731906830239408,-619.1335032684157,7.191335032684157
expanding,1,ElasticNet,POSNEG,48,1.1223440499432695,1.0203929976429933,0.14175720402979905,0.08731906830239408,-691.7368698294441,7.917368698294441
expanding,1,ElasticNet,ToneMean,48,1.036921772923052,0.9468376021730802,0.14175720402979905,0.08731906830239408,-631.4773030547913,7.314773030547912
expanding,1,Lasso,NEG,48,1.0234578318330985,0.9380872152799017,0.14175720402979905,0.08731906830239408,-621.9794146179374,7.219794146179375
expanding,1,Lasso,None,48,1.0192851609373528,0.9321950676769788,0.14175720402979905,0.08731906830239408,-619.0358810428336,7.190358810428336
expanding,1,Lasso,POSNEG,48,1.1197095710670377,1.02013990680815,0.14175720402979905,0.08731906830239408,-689.8784253896977,7.898784253896976
expanding,1,Lasso,ToneMean,48,1.0358131904213688,0.9476596307071751,0.14175720402979905,0.08731906830239408,-630.6952740148772,7.306952740148772
expanding,1,OLS,NEG,48,1.0271039221681617,0.9348609259025334,0.14175720402979905,0.08731906830239408,-624.5514816673813,7.245514816673812
expanding,1,OLS,None,48,1.022482310661472,0.9282431237157948,0.14175720402979905,0.08731906830239408,-621.2912512344234,7.212912512344234
expanding,1,OLS,POSNEG,48,1.1255982936410045,1.0195695468907406,0.14175720402979905,0.08731906830239408,-694.0325159096608,7.940325159096608
expanding,1,OLS,ToneMean,48,1.0393980649664774,0.9443374767548324,0.14175720402979905,0.08731906830239408,-633.2241575165262,7.332241575165263
expanding,1,Ridge,NEG,48,1.0252951324062791,0.9349726769917425,0.14175720402979905,0.08731906830239408,-623.2755043551437,7.232755043551436
expanding,1,Ridge,None,48,1.0208000020370676,0.9284822747869893,0.14175720402979905,0.08731906830239408,-620.1044977033289,7.201044977033289
expanding,1,Ridge,POSNEG,48,1.1251241942473849,1.0200234171280418,0.14175720402979905,0.08731906830239408,-693.6980712534865,7.936980712534866
expanding,1,Ridge,ToneMean,48,1.0385289761618872,0.9451205083321251,0.14175720402979905,0.08731906830239408,-632.6110748795356,7.326110748795356
expanding,1,SVR,NEG,48,0.7034794156174803,0.5489453402376631,0.14175720402979905,0.08731906830239408,-396.25655389591384,4.962565538959138
expanding,1,SVR,None,48,0.621673950196331,0.48373971107913594,0.14175720402979905,0.08731906830239408,-338.54840002744953,4.385484000274496
expanding,1,SVR,POSNEG,48,0.7519887238523492,0.6000273634139045,0.14175720402979905,0.08731906830239408,-430.47654896908955,5.304765489690896
expanding,1,SVR,ToneMean,48,0.695530276279823,0.5373019618081561,0.14175720402979905,0.08731906830239408,-390.64898044519435,4.906489804451944
expanding,2,ElasticNet,NEG,48,0.9767369372160175,0.8833546565799679,0.25687109030369215,0.17087008989231656,-280.2440111346303,3.802440111346303
expanding,2,ElasticNet,None,48,0.9740128865708534,0.879238685623418,0.25687109030369215,0.17087008989231656,-279.18353732189274,3.7918353732189276
expanding,2,ElasticNet,POSNEG,48,1.082456689975042,0.9727380013493977,0.25687109030369215,0.17087008989231656,-321.40074567958624,4.214007456795862
expanding,2,ElasticNet,ToneMean,48,0.9980377107130487,0.900935064486957,0.25687109030369215,0.17087008989231656,-288.5364092678137,3.885364092678137
expanding,2,Lasso,NEG,48,0.9773614052708054,0.8851207961424677,0.25687109030369215,0.17087008989231656,-280.48711675389234,3.8048711675389235
expanding,2,Lasso,None,48,0.9747622217091769,0.8813625680635728,0.25687109030369215,0.17087008989231656,-279.47525373787306,3.7947525373787308
expanding,2,Lasso,POSNEG,48,1.0798679007632253,0.9724391626904473,0.25687109030369215,0.17087008989231656,-320.39292918736976,4.203929291873698
expanding,2,Lasso,ToneMean,48,0.9974122124445126,0.9020064645726699,0.25687109030369215,0.17087008989231656,-288.2929025860005,3.8829290258600047
expanding,2,OLS,NEG,48,0.9800717823957922,0.8816557311419491,0.25687109030369215,0.17087008989231656,-281.5422674607245,3.8154226746072446
expanding,2,OLS,None,48,0.9770168611297323,0.8770121982201989,0.25687109030369215,0.17087008989231656,-280.3529856063717,3.803529856063717
expanding,2,OLS,POSNEG,48,1.086123571663463,0.9723939313597153,0.25687109030369215,0.17087008989231656,-322.82826392778054,4.228282639277806
expanding,2,OLS,ToneMean,48,1.0002766131676752,0.898533050548764,0.25687109030369215,0.17087008989231656,-289.4080147302967,3.894080147302967
expanding,2,Ridge,NEG,48,0.9780698728790137,0.8816181001642175,0.25687109030369215,0.17087008989231656,-280.76292342694796,3.8076292342694797
expanding,2,Ridge,None,48,0.9750924517908157,0.8770738117109967,0.25687109030369215,0.17087008989231656,-279.6038124173447,3.7960381241734473
expanding,2,Ridge,POSNEG,48,1.0855428418754816,0.972699737108468,0.25687109030369215,0.17087008989231656,-322.602185630182,4.22602185630182
expanding,2,Ridge,ToneMean,48,0.9992939744829793,0.8991595867757606,0.25687109030369215,0.17087008989231656,-289.0254731669257,3.890254731669257
expanding,2,SVR,NEG,48,0.6738302909997456,0.5324428866536856,0.25687109030369215,0.17087008989231656,-162.3223540660388,2.623223540660388
expanding,2,SVR,None,48,0.5980555569228665,0.4574031959550488,0.25687109030369215,0.17087008989231656,-132.8232251499383,2.328232251499383
expanding,2,SVR,POSNEG,48,0.7241155939692955,0.5589675479006874,0.25687109030369215,0.17087008989231656,-181.89843906264113,2.818984390626411
expanding,2,SVR,ToneMean,48,0.6581888567944334,0.5027480341389543,0.25687109030369215,0.17087008989231656,-156.23313858179736,2.562331385817974
expanding,3,ElasticNet,NEG,48,0.9176364996975663,0.8089083197417178,0.37262160625105367,0.2541171247972873,-146.26497344850932,2.4626497344850935
expanding,3,ElasticNet,None,48,0.916373760835955,0.8073985800125856,0.37262160625105367,0.2541171247972873,-145.92609378065654,2.4592609378065653
expanding,3,ElasticNet,POSNEG,48,1.0232961182096594,0.8996869994052189,0.37262160625105367,0.2541171247972873,-174.6207146990328,2.7462071469903275
expanding,3,ElasticNet,ToneMean,48,0.9430704243433371,0.8322310573337091,0.37262160625105367,0.2541171247972873,-153.09064437555554,2.5309064437555553
expanding,3,Lasso,NEG,48,0.9167656999299123,0.8091957687470122,0.37262160625105367,0.2541171247972873,-146.03127799096058,2.4603127799096054
expanding,3,Lasso,None,48,0.9160581942405375,0.8083910079541935,0.37262160625105367,0.2541171247972873,-145.84140556340785,2.458414055634078
expanding,3,Lasso,POSNEG,48,1.0199781351669421,0.8986515573045603,0.37262160625105367,0.2541171247972873,-173.73027169007807,2.7373027169007806
expanding,3,Lasso,ToneMean,48,0.9414095220675276,0.832009525277079,0.37262160625105367,0.2541171247972873,-152.64491008426745,2.526449100842674
expanding,3,OLS,NEG,48,0.920717457654979,0.808174915143245,0.37262160625105367,0.2541171247972873,-147.09180632822617,2.470918063282262
expanding,3,OLS,None,48,0.9186719504207222,0.8055469879579439,0.37262160625105367,0.2541171247972873,-146.54285607951766,2.4654285607951767
expanding,3,OLS,POSNEG,48,1.0263236633902078,0.8992890654210068,0.37262160625105367,0.2541171247972873,-175.43321325782773,2.754332132578277
expanding,3,OLS,ToneMean,48,0.9451435576498977,0.8305272377509888,0.37262160625105367,0.2541171247972873,-153.6470085991491,2.5364700859914913
expanding,3,Ridge,NEG,48,0.9193984701054745,0.8083985935952672,0.37262160625105367,0.2541171247972873,-146.73783126951315,2.4673783126951316
expanding,3,Ridge,None,48,0.9173932265829192,0.8058372051038414,0.37262160625105367,0.2541171247972873,-146.19968654335784,2.461996865433578
expanding,3,Ridge,POSNEG,48,1.026314052994374,0.8998520711921287,0.37262160625105367,0.2541171247972873,-175.4306341277739,2.754306341277739
expanding,3,Ridge,ToneMean,48,0.9447968779461526,0.8313708115000941,0.37262160625105367,0.2541171247972873,-153.55397059546678,2.5355397059546676
expanding,3,SVR,NEG,48,0.6745913176619966,0.5301709603021362,0.37262160625105367,0.2541171247972873,-81.0392382903022,1.810392382903022
expanding,3,SVR,None,48,0.5849162494099825,0.43907196595291315,0.37262160625105367,0.2541171247972873,-56.97325104006327,1.5697325104006326
expanding,3,SVR,POSNEG,48,0.7220850308647754,0.5407206091932704,0.37262160625105367,0.2541171247972873,-93.78506741186415,1.9378506741186416
expanding,3,SVR,ToneMean,48,0.6598703134293672,0.4875135635993484,0.37262160625105367,0.2541171247972873,-77.08858057596902,1.7708858057596901
expanding,4,ElasticNet,NEG,47,0.8749790708163446,0.7484810992426012,0.485940954651804,0.3363799508214157,-80.05872162870116,1.8005872162870116
expanding,4,ElasticNet,None,47,0.8742891628650902,0.7474452832200555,0.485940954651804,0.3363799508214157,-79.91674801140256,1.7991674801140256
expanding,4,ElasticNet,POSNEG,47,0.9889577954803602,0.8509806189501803,0.485940954651804,0.3363799508214157,-103.51398374911366,2.035139837491137
expanding,4,ElasticNet,ToneMean,47,0.9086933174866281,0.7834607581336377,0.485940954651804,0.3363799508214157,-86.99665232738883,1.8699665232738882
expanding,4,Lasso,NEG,47,0.8748713122103008,0.7498739069010193,0.485940954651804,0.3363799508214157,-80.03654638189137,1.8003654638189137
expanding,4,Lasso,None,47,0.8740494969736479,0.7488617628321654,0.485940954651804,0.3363799508214157,-79.86742804996526,1.7986742804996527
expanding,4,Lasso,POSNEG,47,0.9857442078220231,0.850511126816462,0.485940954651804,0.3363799508214157,-102.85267137616503,2.0285267137616505
expanding,4,Lasso,ToneMean,47,0.9067028150235579,0.783516550300173,0.485940954651804,0.3363799508214157,-86.58703415381946,1.8658703415381948
expanding,4,OLS,NEG,47,0.8778068949810233,0.747619838307289,0.485940954651804,0.3363799508214157,-80.64064915253064,1.8064064915253064
expanding,4,OLS,None,47,0.8771652593245618,0.746829045117148,0.485940954651804,0.3363799508214157,-80.50860931305648,1.8050860931305648
expanding,4,OLS,POSNEG,47,0.9921833346185782,0.8496854791621666,0.485940954651804,0.3363799508214157,-104.177755573106,2.04177755573106
expanding,4,OLS,ToneMean,47,0.9111125651060353,0.7816828499671039,0.485940954651804,0.3363799508214157,-87.49450038819711,1.874945003881971
expanding,4,Ridge,NEG,47,0.8763943212854306,0.7471806085143855,0.485940954651804,0.3363799508214157,-80.34996081229704,1.8034996081229704
expanding,4,Ridge,None,47,0.8757623188098319,0.7462189142977333,0.485940954651804,0.3363799508214157,-80.21990334964676,1.8021990334964675
expanding,4,Ridge,POSNEG,47,0.9921272424023839,0.850361110326416,0.485940954651804,0.3363799508214157,-104.16621256244652,2.041662125624465
expanding,4,Ridge,ToneMean,47,0.9107259377984013,0.7826143138115563,0.485940954651804,0.3363799508214157,-87.41493777798017,1.8741493777798017
expanding,4,SVR,NEG,47,0.6449610507369097,0.49500049411641556,0.485940954651804,0.3363799508214157,-32.72416011921653,1.3272416011921653
expanding,4,SVR,None,47,0.571578922467833,0.4467444512999295,0.485940954651804,0.3363799508214157,-17.62312210902085,1.1762312210902086
expanding,4,SVR,POSNEG,47,0.6874584504483399,0.4944437001147563,0.485940954651804,0.3363799508214157,-41.46954354586787,1.4146954354586787
expanding,4,SVR,ToneMean,47,0.6385842460663022,0.4607897956440468,0.485940954651804,0.3363799508214157,-31.41190096312692,1.3141190096312692
expanding,5,ElasticNet,NEG,46,0.8241424731394207,0.6845421697312,0.5931232427330431,0.41809499672285044,-38.94961683542662,1.3894961683542661
expanding,5,ElasticNet,None,46,0.8236221745927556,0.6837346698458827,0.5931232427330431,0.41809499672285044,-38.86189500812684,1.3886189500812685
expanding,5,ElasticNet,POSNEG,46,0.953868982023997,0.7932743627518538,0.5931232427330431,0.41809499672285044,-60.821379656052486,1.608213796560525
expanding,5,ElasticNet,ToneMean,46,0.8624783178573606,0.7196498858497876,0.5931232427330431,0.41809499672285044,-45.413002849654085,1.4541300284965408
