window_scheme,model,tone_spec,mean_pct_vs_none,min_pct_vs_none,max_pct_vs_none,n_h
expanding,Lasso,NEG,-0.16818447390091418,-0.4093722792852617,-0.07099288653433455,6
expanding,ElasticNet,NEG,-0.1750835543149407,-0.4100770377121572,-0.06317199350811513,6
expanding,Ridge,NEG,-0.19424339574987062,-0.44035367949071924,-0.03019172077590035,6
expanding,OLS,NEG,-0.19969591258193908,-0.45199916502221615,-0.032528153507810194,6
expanding,Lasso,ToneMean,-3.2650363823064716,-4.5987683033256,-1.6215314533585994,6
expanding,OLS,ToneMean,-3.3449492166974015,-4.67393033635677,-1.6543811202036434,6
expanding,ElasticNet,ToneMean,-3.412277420073766,-4.724491446531628,-1.7164823680545838,6
expanding,Ridge,ToneMean,-3.45868620111217,-4.808869394954485,-1.7367725401097605,6
expanding,SVR,ToneMean,-11.640469169916765,-12.81449508284176,-10.054801627622451,6
expanding,Lasso,POSNEG,-12.988107975523477,-17.704805188422075,-9.85243521423709,6
expanding,SVR,NEG,-13.226747725964671,-15.331266372317618,-12.61017809995893,6
expanding,ElasticNet,POSNEG,-13.337318469511573,-18.196716847997923,-10.095951062083843,6
expanding,OLS,POSNEG,-13.362838001148019,-18.414940997807115,-10.084867181010098,6
expanding,Ridge,POSNEG,-13.52578190256123,-18.583815401622758,-10.219846395193194,6
expanding,SVR,POSNEG,-21.968164938183303,-23.45101227622893,-20.27358312657658,6
rolling,Ridge,ToneMean,2.8471454386908372,2.2872454625386736,3.7142021062384623,6
rolling,OLS,ToneMean,2.760643208561025,2.184701949025775,3.634496366031601,6
rolling,ElasticNet,ToneMean,2.5956611971065104,1.9207705321247117,3.5381854310018146,6
rolling,Lasso,ToneMean,2.4001815718706667,1.6600073030207254,3.4191443885207526,6
rolling,Ridge,POSNEG,0.4663960866562145,-0.22048807740349297,1.5074920757473573,6
rolling,ElasticNet,POSNEG,0.4176858917494159,-0.5072566175080155,1.6460309527988362,6
rolling,Lasso,POSNEG,0.39372621433451865,-0.6895943171791613,1.8656178105643855,6
rolling,OLS,POSNEG,0.30924925072742304,-0.4135104846259837,1.3976205654158442,6
rolling,Ridge,NEG,0.103193197340627,-0.22164576256662105,0.4216892291536984,6
rolling,OLS,NEG,0.0756299238549188,-0.2243700894040625,0.3624619936065559,6
rolling,ElasticNet,NEG,0.03862157552222961,-0.22150991223897423,0.30455616024348,6
rolling,Lasso,NEG,0.03265478851351055,-0.2610682466823533,0.3020882895098729,6
rolling,SVR,NEG,-5.299432104551024,-6.655888863944321,-3.0086963406755087,6
rolling,SVR,ToneMean,-5.933689434536677,-8.068403079193352,-4.375742204493642,6
rolling,SVR,POSNEG,-14.424355989684964,-16.732971728224165,-12.14983503273965,6
