window_scheme,horizon_h,model,tone_spec,rmse,naive_rmse,pct_dRMSE_vs_naive
expanding,1,ElasticNet,NEG,1.0236039693600747,0.14175720402979905,-622.0825046358144
expanding,1,ElasticNet,None,1.0194235474748496,0.14175720402979905,-619.1335032684157
expanding,1,ElasticNet,POSNEG,1.1223440499432695,0.14175720402979905,-691.7368698294441
expanding,1,ElasticNet,ToneMean,1.036921772923052,0.14175720402979905,-631.4773030547913
expanding,1,Lasso,NEG,1.0234578318330985,0.14175720402979905,-621.9794146179374
expanding,1,Lasso,None,1.0192851609373528,0.14175720402979905,-619.0358810428336
expanding,1,Lasso,POSNEG,1.1197095710670377,0.14175720402979905,-689.8784253896977
expanding,1,Lasso,ToneMean,1.0358131904213688,0.14175720402979905,-630.6952740148772
expanding,1,OLS,NEG,1.0271039221681617,0.14175720402979905,-624.5514816673813
expanding,1,OLS,None,1.022482310661472,0.14175720402979905,-621.2912512344234
expanding,1,OLS,POSNEG,1.1255982936410045,0.14175720402979905,-694.0325159096608
expanding,1,OLS,ToneMean,1.0393980649664774,0.14175720402979905,-633.2241575165262
expanding,1,Ridge,NEG,1.0252951324062791,0.14175720402979905,-623.2755043551437
expanding,1,Ridge,None,1.0208000020370676,0.14175720402979905,-620.1044977033289
expanding,1,Ridge,POSNEG,1.1251241942473849,0.14175720402979905,-693.6980712534865
expanding,1,Ridge,ToneMean,1.0385289761618872,0.14175720402979905,-632.6110748795356
expanding,1,SVR,NEG,0.7034794156174803,0.14175720402979905,-396.25655389591384
expanding,1,SVR,None,0.621673950196331,0.14175720402979905,-338.54840002744953
expanding,1,SVR,POSNEG,0.7519887238523492,0.14175720402979905,-430.47654896908955
expanding,1,SVR,ToneMean,0.695530276279823,0.14175720402979905,-390.64898044519435
expanding,2,ElasticNet,NEG,0.9767369372160175,0.25687109030369215,-280.2440111346303
expanding,2,ElasticNet,None,0.9740128865708534,0.25687109030369215,-279.18353732189274
expanding,2,ElasticNet,POSNEG,1.082456689975042,0.25687109030369215,-321.40074567958624
expanding,2,ElasticNet,ToneMean,0.9980377107130487,0.25687109030369215,-288.5364092678137
expanding,2,Lasso,NEG,0.9773614052708054,0.25687109030369215,-280.48711675389234
expanding,2,Lasso,None,0.9747622217091769,0.25687109030369215,-279.47525373787306
expanding,2,Lasso,POSNEG,1.0798679007632253,0.25687109030369215,-320.39292918736976
expanding,2,Lasso,ToneMean,0.9974122124445126,0.25687109030369215,-288.2929025860005
expanding,2,OLS,NEG,0.9800717823957922,0.25687109030369215,-281.5422674607245
expanding,2,OLS,None,0.9770168611297323,0.25687109030369215,-280.3529856063717
expanding,2,OLS,POSNEG,1.086123571663463,0.25687109030369215,-322.82826392778054
expanding,2,OLS,ToneMean,1.0002766131676752,0.25687109030369215,-289.4080147302967
expanding,2,Ridge,NEG,0.9780698728790137,0.25687109030369215,-280.76292342694796
expanding,2,Ridge,None,0.9750924517908157,0.25687109030369215,-279.6038124173447
expanding,2,Ridge,POSNEG,1.0855428418754816,0.25687109030369215,-322.602185630182
expanding,2,Ridge,ToneMean,0.9992939744829793,0.25687109030369215,-289.0254731669257
