window_scheme,horizon_h,model,tone_spec,n_common,rmse_none_aligned,rmse_aligned,mae_none_aligned,mae_aligned,pct_dRMSE_vs_none,CW_p_one_sided,MSFE_gain,CW_sig_5pct
expanding,1,ElasticNet,NEG,48,1.0194235474748496,1.0236039693600747,0.9305578378462561,0.9366507335969056,-0.4100770377121572,0.7393187196323942,-0.008540716943493454,False
expanding,1,Lasso,NEG,48,1.0192851609373528,1.0234578318330985,0.9321950676769788,0.9380872152799017,-0.4093722792852617,0.7649313896728647,-0.008523694233421697,False
expanding,1,OLS,NEG,48,1.022482310661472,1.0271039221681617,0.9282431237157948,0.9348609259025334,-0.45199916502221615,0.7280351338306041,-0.009472391317598472,False
expanding,1,Ridge,NEG,48,1.0208000020370676,1.0252951324062791,0.9284822747869893,0.9349726769917425,-0.44035367949071924,0.7265787147941951,-0.009197464377132425,False
expanding,1,SVR,ToneMean,48,0.621673950196331,0.695530276279823,0.48373971107913594,0.5373019618081561,-11.880234978507213,0.6702980640858724,-0.09728386486917673,False
expanding,2,ElasticNet,NEG,48,0.9740128865708534,0.9767369372160175,0.879238685623418,0.8833546565799679,-0.27967295738298886,0.7883771895635232,-0.005313941316040349,False
expanding,2,Lasso,NEG,48,0.9747622217091769,0.9773614052708054,0.8813625680635728,0.8851207961424677,-0.26664795821395143,0.8256350057032205,-0.005073927641512932,False
expanding,2,OLS,NEG,48,0.9770168611297323,0.9800717823957922,0.8770121982201989,0.8816557311419491,-0.31267845905212477,0.7558911160418332,-0.005978751716670283,False
expanding,2,Ridge,NEG,48,0.9750924517908157,0.9780698728790137,0.8770738117109967,0.8816181001642175,-0.30534756809262265,0.7578513494578203,-0.005815386694145719,False
expanding,2,SVR,ToneMean,48,0.5980555569228665,0.6581888567944334,0.4574031959550488,0.5027480341389543,-10.054801627622451,0.4771792936150482,-0.07554212204204314,False
expanding,3,ElasticNet,NEG,48,0.916373760835955,0.9176364996975663,0.8073985800125856,0.8089083197417178,-0.13779736124912606,0.9357516396487331,-0.002315876028569419,False
expanding,3,Lasso,NEG,48,0.9160581942405375,0.9167656999299123,0.8083910079541935,0.8091957687470122,-0.07723370565571909,0.940569750794036,-0.0012967333327477126,False
expanding,3,OLS,NEG,48,0.9186719504207222,0.920717457654979,0.8055469879579439,0.808174915143245,-0.22265915850810575,0.9207023619564709,-0.003762484340834149,False
expanding,3,Ridge,NEG,48,0.9173932265829192,0.9193984701054745,0.8058372051038414,0.8083985935952672,-0.21858058948443973,0.9307808020674815,-0.003683214652067557,False
expanding,3,SVR,ToneMean,48,0.5849162494099825,0.6598703134293672,0.43907196595291315,0.4875135635993484,-12.81449508284176,0.5533780039936966,-0.09330181172153029,False
expanding,4,ElasticNet,NEG,47,0.8742891628650902,0.8749790708163446,0.7474452832200555,0.7484810992426012,-0.07891072891645942,0.651694890300403,-0.0012068340632935826,False
expanding,4,Lasso,NEG,47,0.8740494969736479,0.8748713122103008,0.7488617628321654,0.7498739069010193,-0.09402387845292706,0.7560207228933518,-0.0014372897686867336,False
expanding,4,OLS,NEG,47,0.8771652593245618,0.8778068949810233,0.746829045117148,0.747619838307289,-0.07314877665761009,0.6130995116985951,-0.0011260527102994189,False
expanding,4,Ridge,NEG,47,0.8757623188098319,0.8763943212854306,0.7462189142977333,0.7471806085143855,-0.07216598179944399,0.6036739857832577,-0.001107367334176823,False
expanding,4,SVR,ToneMean,47,0.571578922467833,0.6385842460663022,0.4467444512999295,0.4607897956440468,-11.722847180782807,0.42497243699688325,-0.0810873747145785,False
expanding,5,ElasticNet,NEG,46,0.8236221745927556,0.8241424731394207,0.6837346698458827,0.6845421697312,-0.06317199350811513,0.5839044838851368,-0.0008573295514611168,False
expanding,5,Lasso,NEG,46,0.8237566220766507,0.8245048907561205,0.6852828213038736,0.6862263983560338,-0.09083613526329129,0.6802562420576355,-0.0012333424656282288,False
expanding,5,OLS,NEG,46,0.8261786477890061,0.8264473884478076,0.6814526335268986,0.6819943703989613,-0.032528153507810194,0.5250496763694616,-0.0004441278097307988,False
expanding,5,Ridge,NEG,46,0.8248123473035109,0.825061372344334,0.6817438358452478,0.6822623562333776,-0.03019172077590035,0.5184415917992475,-0.0004108598703881361,False
expanding,5,SVR,ToneMean,46,0.5519264270630483,0.6180870830989069,0.42331410556563237,0.44897014722949946,-11.987223802258864,0.4023454034000168,-0.0774088614031328,False
expanding,6,ElasticNet,NEG,45,0.7738565725446882,0.7744824000058314,0.6082080289983645,0.6081442577691275,-0.08087124712079731,0.7905684263708402,-0.0009689930481803222,False
expanding,6,Lasso,NEG,45,0.7740658120457085,0.7746153437093551,0.6086516481815856,0.6085890788346554,-0.07099288653433455,0.8519217943839115,-0.0008510493319803247,False
expanding,6,OLS,NEG,45,0.7749433612848622,0.7757583053838552,0.6058077478753862,0.6062429139967349,-0.10516176274376762,0.8265413301788564,-0.0012637351725502954,False
expanding,6,Ridge,NEG,45,0.7737953804666539,0.7745600515217089,0.6052213734013541,0.6053130756419106,-0.09882083485609787,0.7850940940427651,-0.0011839825817787641,False
expanding,6,SVR,ToneMean,45,0.5528137961198603,0.6157417644183906,0.4042402684832704,0.4363121680732604,-11.3832123474875,0.3984885035838902,-0.07353482726862237,False
