window_scheme,horizon_h,model,tone_spec,n_common,MSFE_none,MSFE_tone,MSFE_gain,CW_stat,CW_p_one_sided,DM_stat,DM_p_two_sided
expanding,1,ElasticNet,NEG,48,1.039224369146207,1.0477650860897005,-0.008540716943493454,-0.6412464719743862,0.7393187196323942,-0.749289304646157,0.4536828527614136
expanding,1,ElasticNet,POSNEG,48,1.039224369146207,1.2596561664430603,-0.22043179729685325,-2.7141889606618665,0.9966780871198636,-3.1036118752916977,0.0019117394145848898
expanding,1,ElasticNet,ToneMean,48,1.039224369146207,1.0752067631618856,-0.03598239401567849,-2.279072590832646,0.9886686247347276,-2.365163842753861,0.018022095947652694
expanding,1,Lasso,NEG,48,1.038942239307085,1.0474659335405068,-0.008523694233421697,-0.7222558026582718,0.7649313896728647,-0.8182301014091268,0.413225810065315
expanding,1,Lasso,POSNEG,48,1.038942239307085,1.2537495235391296,-0.21480728423204454,-2.7024526676958915,0.9965585008194029,-3.0867679186209074,0.0020234550913673655
expanding,1,Lasso,ToneMean,48,1.038942239307085,1.072908965450895,-0.03396672614380991,-2.257042985352925,0.9879973055380239,-2.338888179627686,0.019341221409238774
expanding,1,OLS,NEG,48,1.0454700756156228,1.0549424669332212,-0.009472391317598472,-0.6068812347212539,0.7280351338306041,-0.7307730917405862,0.4649177619161349
expanding,1,OLS,POSNEG,48,1.0454700756156228,1.266971518647541,-0.2215014430319182,-2.6329477140640103,0.9957676311381762,-3.039887959548584,0.002366661725867747
expanding,1,OLS,ToneMean,48,1.0454700756156228,1.0803483374560574,-0.03487826184043463,-2.220804408956648,0.9868178940801904,-2.3073884366357573,0.02103317528815607
expanding,1,Ridge,NEG,48,1.0420326441588772,1.0512301085360096,-0.009197464377132425,-0.6024981858483235,0.7265787147941951,-0.7241531321847415,0.46897172831088363
expanding,1,Ridge,POSNEG,48,1.0420326441588772,1.265904452480827,-0.22387180832194975,-2.6834071616931836,0.996356189714209,-3.0834857873410297,0.0020459088246138624
expanding,1,Ridge,ToneMean,48,1.0420326441588772,1.0785424343278576,-0.03650979016898037,-2.255832589423123,0.9879594412358847,-2.3446349178345764,0.019045718421907942
expanding,1,SVR,NEG,48,0.38647850035271025,0.49488328819751154,-0.10840478784480129,-1.4959556191847143,0.9326673895775414,-2.429105991739059,0.015136106671034266
expanding,1,SVR,POSNEG,48,0.38647850035271025,0.5654870408010847,-0.17900854044837444,-0.004458551558499829,0.501778698833002,-2.599447562429677,0.009337394314786085
expanding,1,SVR,ToneMean,48,0.38647850035271025,0.483762365221887,-0.09728386486917673,-0.44073635812951745,0.6702980640858724,-2.2238383781647797,0.026159320255601637
expanding,2,ElasticNet,NEG,48,0.9487011032060861,0.9540150445221265,-0.005313941316040349,-0.8008031400917915,0.7883771895635232,-0.854118828408181,0.39303915248901644
expanding,2,ElasticNet,POSNEG,48,0.9487011032060861,1.1717124856717243,-0.22301138246563812,-2.5077169755713267,0.9939243023679144,-2.974929838682282,0.002930555662874701
